year,mouth,day,hour,Temp-C°,location,lat,lon,asl,Temp (Fahrenheit)
2017,11,1,0,0.8002454,Basilea,47.75000,7.50000,363653,33.44044172
2017,11,1,100,0.41024542,Basilea,47.75001,7.50001,363654,32.738441756
2017,11,1,200,0.2602454,Basilea,47.75002,7.50002,363655,32.46844172
2017,11,1,300,0.4602454,Basilea,47.75003,7.50003,363656,32.82844172
2017,11,1,400,0.3802454,Basilea,47.75004,7.50004,363657,32.68444172
2017,11,1,500,0.1502454,Basilea,47.75005,7.50005,363658,32.27044172
2017,11,1,600,0.3302454,Basilea,47.75006,7.50006,363659,32.59444172
2017,11,1,700,1.4802454,Basilea,47.75007,7.50007,363660,34.66444172
2017,11,1,800,3.8102455,Basilea,47.75008,7.50008,363661,38.8584419
2017,11,1,900,6.3202453,Basilea,47.75009,7.50009,363662,43.37644154
2017,11,1,1000,9.570246,Basilea,47.75010,7.50010,363663,49.2264428
2017,11,1,1100,11.650246,Basilea,47.75011,7.50011,363664,52.9704428
2017,11,1,1200,13.290245,Basilea,47.75012,7.50012,363665,55.922441
2017,11,1,1300,14.340245,Basilea,47.75013,7.50013,363666,57.812441
2017,11,1,1400,14.900246,Basilea,47.75014,7.50014,363667,58.8204428
2017,11,1,1500,14.530245,Basilea,47.75015,7.50015,363668,58.154441000000006
2017,11,1,1600,12.590245,Basilea,47.75016,7.50016,363669,54.662441
2017,11,1,1700,8.680245,Basilea,47.75017,7.50017,363670,47.624441
2017,11,1,1800,7.5102453,Basilea,47.75018,7.50018,363671,45.51844154
2017,11,1,1900,6.5602455,Basilea,47.75019,7.50019,363672,43.8084419
2017,11,1,2000,6.3002453,Basilea,47.75020,7.50020,363673,43.34044154
2017,11,1,2100,6.0902452,Basilea,47.75021,7.50021,363674,42.96244136
2017,11,1,2200,5.540245,Basilea,47.75022,7.50022,363675,41.972441
2017,11,1,2300,4.9102454,Basilea,47.75023,7.50023,363676,40.83844172
2017,11,2,0,5.0302453,Basilea,47.75024,7.50024,363677,41.05444154
2017,11,2,100,5.040245,Basilea,47.75025,7.50025,363678,41.072441
2017,11,2,200,4.9302454,Basilea,47.75026,7.50026,363679,40.87444172
2017,11,2,300,5.2402453,Basilea,47.75027,7.50027,363680,41.43244154
2017,11,2,400,5.8202453,Basilea,47.75028,7.50028,363681,42.476441539999996
2017,11,2,500,6.3202453,Basilea,47.75029,7.50029,363682,43.37644154
2017,11,2,600,6.5102453,Basilea,47.75030,7.50030,363683,43.71844154
2017,11,2,700,7.3202453,Basilea,47.75031,7.50031,363684,45.17644154
2017,11,2,800,8.670245,Basilea,47.75032,7.50032,363685,47.606441
2017,11,2,900,10.790245,Basilea,47.75033,7.50033,363686,51.422441
2017,11,2,1000,12.740245,Basilea,47.75034,7.50034,363687,54.932441
2017,11,2,1100,14.640245,Basilea,47.75035,7.50035,363688,58.352441
2017,11,2,1200,15.740245,Basilea,47.75036,7.50036,363689,60.332441
2017,11,2,1300,16.160246,Basilea,47.75037,7.50037,363690,61.0884428
2017,11,2,1400,15.8102455,Basilea,47.75038,7.50038,363691,60.458441900000004
2017,11,2,1500,15.570246,Basilea,47.75039,7.50039,363692,60.0264428
2017,11,2,1600,14.890245,Basilea,47.75040,7.50040,363693,58.802441
2017,11,2,1700,13.730246,Basilea,47.75041,7.50041,363694,56.7144428
2017,11,2,1800,13.170245,Basilea,47.75042,7.50042,363695,55.706441
2017,11,2,1900,12.700245,Basilea,47.75043,7.50043,363696,54.860441
2017,11,2,2000,12.230246,Basilea,47.75044,7.50044,363697,54.0144428
2017,11,2,2100,12.020246,Basilea,47.75045,7.50045,363698,53.6364428
2017,11,2,2200,11.760245,Basilea,47.75046,7.50046,363699,53.168441
2017,11,2,2300,11.710245,Basilea,47.75047,7.50047,363700,53.078441
2017,11,3,0,11.500245,Basilea,47.75048,7.50048,363701,52.700441
2017,11,3,100,10.970245,Basilea,47.75049,7.50049,363702,51.746441000000004
2017,11,3,200,10.430245,Basilea,47.75050,7.50050,363703,50.774440999999996
2017,11,3,300,10.090245,Basilea,47.75051,7.50051,363704,50.162441
2017,11,3,400,9.760245,Basilea,47.75052,7.50052,363705,49.568441
2017,11,3,500,9.570246,Basilea,47.75053,7.50053,363706,49.2264428
2017,11,3,600,9.820246,Basilea,47.75054,7.50054,363707,49.6764428
2017,11,3,700,9.930245,Basilea,47.75055,7.50055,363708,49.874441
2017,11,3,800,11.380245,Basilea,47.75056,7.50056,363709,52.484441000000004
2017,11,3,900,12.910245,Basilea,47.75057,7.50057,363710,55.238441
2017,11,3,1000,13.940246,Basilea,47.75058,7.50058,363711,57.0924428
2017,11,3,1100,15.580245,Basilea,47.75059,7.50059,363712,60.044441
2017,11,3,1200,16.590246,Basilea,47.75060,7.50060,363713,61.862442800000004
2017,11,3,1300,17.080246,Basilea,47.75061,7.50061,363714,62.744442799999995
2017,11,3,1400,17.250246,Basilea,47.75062,7.50062,363715,63.0504428
2017,11,3,1500,16.500246,Basilea,47.75063,7.50063,363716,61.700442800000005
2017,11,3,1600,15.120245,Basilea,47.75064,7.50064,363717,59.216441
2017,11,3,1700,12.420245,Basilea,47.75065,7.50065,363718,54.356441
2017,11,3,1800,9.580245,Basilea,47.75066,7.50066,363719,49.244441
2017,11,3,1900,8.500245,Basilea,47.75067,7.50067,363720,47.300441
2017,11,3,2000,7.8702455,Basilea,47.75068,7.50068,363721,46.1664419
2017,11,3,2100,7.6802454,Basilea,47.75069,7.50069,363722,45.824441719999996
2017,11,3,2200,8.280246,Basilea,47.75070,7.50070,363723,46.9044428
2017,11,3,2300,7.540245,Basilea,47.75071,7.50071,363724,45.572441
2017,11,4,0,7.5602455,Basilea,47.75072,7.50072,363725,45.6084419
2017,11,4,100,8.070246,Basilea,47.75073,7.50073,363726,46.5264428
2017,11,4,200,8.010245,Basilea,47.75074,7.50074,363727,46.418441
2017,11,4,300,8.090245,Basilea,47.75075,7.50075,363728,46.562441
2017,11,4,400,8.070246,Basilea,47.75076,7.50076,363729,46.5264428
2017,11,4,500,7.960245,Basilea,47.75077,7.50077,363730,46.328441
2017,11,4,600,7.9102454,Basilea,47.75078,7.50078,363731,46.23844172
2017,11,4,700,8.300245,Basilea,47.75079,7.50079,363732,46.940441
2017,11,4,800,9.750245,Basilea,47.75080,7.50080,363733,49.550441
2017,11,4,900,12.050245,Basilea,47.75081,7.50081,363734,53.690441
2017,11,4,1000,13.550245,Basilea,47.75082,7.50082,363735,56.390441
2017,11,4,1100,15.510245,Basilea,47.75083,7.50083,363736,59.918441
2017,11,4,1200,16.250246,Basilea,47.75084,7.50084,363737,61.2504428
2017,11,4,1300,16.930244,Basilea,47.75085,7.50085,363738,62.47443919999999
2017,11,4,1400,16.850245,Basilea,47.75086,7.50086,363739,62.330441
2017,11,4,1500,16.050245,Basilea,47.75087,7.50087,363740,60.890440999999996
2017,11,4,1600,13.910245,Basilea,47.75088,7.50088,363741,57.038441
2017,11,4,1700,12.520246,Basilea,47.75089,7.50089,363742,54.5364428
2017,11,4,1800,11.720245,Basilea,47.75090,7.50090,363743,53.096441
2017,11,4,1900,11.040245,Basilea,47.75091,7.50091,363744,51.872441
2017,11,4,2000,11.000245,Basilea,47.75092,7.50092,363745,51.800441
2017,11,4,2100,11.530245,Basilea,47.75093,7.50093,363746,52.754441
2017,11,4,2200,10.430245,Basilea,47.75094,7.50094,363747,50.774440999999996
2017,11,4,2300,10.120245,Basilea,47.75095,7.50095,363748,50.216441
2017,11,5,0,10.420245,Basilea,47.75096,7.50096,363749,50.756440999999995
2017,11,5,100,10.780245,Basilea,47.75097,7.50097,363750,51.404441000000006
2017,11,5,200,10.940246,Basilea,47.75098,7.50098,363751,51.6924428
2017,11,5,300,11.170245,Basilea,47.75099,7.50099,363752,52.106441
2017,11,5,400,11.260245,Basilea,47.75100,7.50100,363753,52.268440999999996
2017,11,5,500,11.3102455,Basilea,47.75101,7.50101,363754,52.3584419
2017,11,5,600,11.360246,Basilea,47.75102,7.50102,363755,52.4484428
2017,11,5,700,11.350245,Basilea,47.75103,7.50103,363756,52.430441
2017,11,5,800,11.260245,Basilea,47.75104,7.50104,363757,52.268440999999996
2017,11,5,900,10.200245,Basilea,47.75105,7.50105,363758,50.360441
2017,11,5,1000,9.240245,Basilea,47.75106,7.50106,363759,48.632441
2017,11,5,1100,8.490246,Basilea,47.75107,7.50107,363760,47.2824428
2017,11,5,1200,8.690246,Basilea,47.75108,7.50108,363761,47.6424428
2017,11,5,1300,9.000245,Basilea,47.75109,7.50109,363762,48.200441
2017,11,5,1400,8.920245,Basilea,47.75110,7.50110,363763,48.056441
2017,11,5,1500,8.530246,Basilea,47.75111,7.50111,363764,47.3544428
2017,11,5,1600,7.8902454,Basilea,47.75112,7.50112,363765,46.20244172
